parent_url,url,text,link_type,link_description
https://www.bbc.com/nepali/articles/c80zxgy1jzeo,https://www.facebook.com/BBCnewsNepali,फेसबुक,social_media,facebook
https://www.bbc.com/nepali/articles/c80zxgy1jzeo,https://www.instagram.com/bbcnewsnepali/,इन्स्टाग्राम ,social_media,instagram
https://www.nepalipaisa.com/terms-conditions,https://www.facebook.com/NepaliPaisa.News/,,social_media,facebook
https://www.nepalipaisa.com/terms-conditions,https://www.instagram.com/nepalipaisa1/,,social_media,instagram
https://www.nepalipaisa.com/terms-conditions,https://www.linkedin.com/company/nepali-paisa/,,social_media,linkedin
https://www.nepalipaisa.com/terms-conditions,https://www.youtube.com/@nepalipaisa1,,social_media,youtube
https://www.nepalipaisa.com/terms-conditions,https://www.tiktok.com/@nepalipaisamedia,,social_media,tiktok
https://www.nepalipaisa.com/terms-conditions,https://www.youtube.com/channel/UCuS_6Lvf1OmJQSU_cpSHfQA,,social_media,youtube
https://www.nepalipaisa.com/terms-conditions,https://www.instagram.com/paisapodcast/?igshid=YmMyMTA2M2Y%3D,,social_media,instagram
https://www.nepalipaisa.com/terms-conditions,https://www.tiktok.com/@paisapodcast,,social_media,tiktok
https://www.nepalipaisa.com/terms-conditions,https://www.tiktok.com/@paisapodcast?_t=8bOidMFBfW6&_r=1,,social_media,tiktok
https://www.nepalipaisa.com/terms-conditions,https://www.youtube.com/@nepalipaisa981,,social_media,youtube
https://topnepalnews.com/news-category/sports/,https://www.facebook.com/topnepalnews,"
                
              ",social_media,facebook
https://topnepalnews.com/news-category/sports/,https://www.youtube.com/channel/UCiNWplWIy-DHHt0mj-lUfBw,"
                
              ",social_media,youtube
https://www.bbc.com/nepali/articles/c97rqp0n831o,https://www.youtube.com/channel/UCa9wigEw31xDMh_nrscmL6g,यहाँ ,social_media,youtube
https://www.bbc.com/nepali/articles/c97rqp0n831o,https://www.facebook.com/BBCnewsNepali,फेसबुक,social_media,facebook
https://www.bbc.com/nepali/articles/c97rqp0n831o,https://www.instagram.com/bbcnewsnepali/,इन्स्टाग्राम ,social_media,instagram
https://onlinemajdoor.com/?cat=5,https://www.facebook.com/onlinemajdoor,,social_media,facebook
https://onlinemajdoor.com/?cat=5,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://www.bbc.com/nepali/articles/c97278ll423o,https://www.youtube.com/channel/UCa9wigEw31xDMh_nrscmL6g,यहाँ ,social_media,youtube
https://www.bbc.com/nepali/articles/c97278ll423o,https://www.facebook.com/BBCnewsNepali,फेसबुक,social_media,facebook
https://www.bbc.com/nepali/articles/c97278ll423o,https://www.instagram.com/bbcnewsnepali/,इन्स्टाग्राम ,social_media,instagram
https://onlinemajdoor.com/?cat=3,https://www.facebook.com/onlinemajdoor,,social_media,facebook
https://onlinemajdoor.com/?cat=3,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://www.nepalipaisa.com/news,https://www.facebook.com/NepaliPaisa.News/,,social_media,facebook
https://www.nepalipaisa.com/news,https://www.instagram.com/nepalipaisa1/,,social_media,instagram
https://www.nepalipaisa.com/news,https://www.linkedin.com/company/nepali-paisa/,,social_media,linkedin
https://www.nepalipaisa.com/news,https://www.youtube.com/@nepalipaisa1,,social_media,youtube
https://www.nepalipaisa.com/news,https://www.tiktok.com/@nepalipaisamedia,,social_media,tiktok
https://www.nepalipaisa.com/news,https://www.youtube.com/channel/UCuS_6Lvf1OmJQSU_cpSHfQA,,social_media,youtube
https://www.nepalipaisa.com/news,https://www.instagram.com/paisapodcast/?igshid=YmMyMTA2M2Y%3D,,social_media,instagram
https://www.nepalipaisa.com/news,https://www.tiktok.com/@paisapodcast,,social_media,tiktok
https://www.nepalipaisa.com/news,https://www.tiktok.com/@paisapodcast?_t=8bOidMFBfW6&_r=1,,social_media,tiktok
https://www.nepalipaisa.com/news,https://www.youtube.com/@nepalipaisa981,,social_media,youtube
https://topnepalnews.com/news-category/world-news/,https://www.facebook.com/topnepalnews,"
                
              ",social_media,facebook
https://topnepalnews.com/news-category/world-news/,https://www.youtube.com/channel/UCiNWplWIy-DHHt0mj-lUfBw,"
                
              ",social_media,youtube
https://www.bbc.com/nepali/articles/c4n1e41555zo,https://www.youtube.com/channel/UCa9wigEw31xDMh_nrscmL6g,यहाँ ,social_media,youtube
https://www.bbc.com/nepali/articles/c4n1e41555zo,https://www.facebook.com/BBCnewsNepali,फेसबुक,social_media,facebook
https://www.bbc.com/nepali/articles/c4n1e41555zo,https://www.instagram.com/bbcnewsnepali/,इन्स्टाग्राम ,social_media,instagram
https://www.nepalipaisa.com/market-overview,https://www.facebook.com/NepaliPaisa.News/,,social_media,facebook
https://www.nepalipaisa.com/market-overview,https://www.instagram.com/nepalipaisa1/,,social_media,instagram
https://www.nepalipaisa.com/market-overview,https://www.linkedin.com/company/nepali-paisa/,,social_media,linkedin
https://www.nepalipaisa.com/market-overview,https://www.youtube.com/@nepalipaisa1,,social_media,youtube
https://www.nepalipaisa.com/market-overview,https://www.tiktok.com/@nepalipaisamedia,,social_media,tiktok
https://www.nepalipaisa.com/market-overview,https://www.youtube.com/channel/UCuS_6Lvf1OmJQSU_cpSHfQA,,social_media,youtube
https://www.nepalipaisa.com/market-overview,https://www.instagram.com/paisapodcast/?igshid=YmMyMTA2M2Y%3D,,social_media,instagram
https://www.nepalipaisa.com/market-overview,https://www.tiktok.com/@paisapodcast,,social_media,tiktok
https://www.nepalipaisa.com/market-overview,https://www.tiktok.com/@paisapodcast?_t=8bOidMFBfW6&_r=1,,social_media,tiktok
https://www.nepalipaisa.com/market-overview,https://www.youtube.com/@nepalipaisa981,,social_media,youtube
https://onlinemajdoor.com/?cat=13,https://www.facebook.com/onlinemajdoor,,social_media,facebook
https://onlinemajdoor.com/?cat=13,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://topnepalnews.com/news-category/thought-interview-blog/,https://www.facebook.com/topnepalnews,"
                
              ",social_media,facebook
https://topnepalnews.com/news-category/thought-interview-blog/,https://www.youtube.com/channel/UCiNWplWIy-DHHt0mj-lUfBw,"
                
              ",social_media,youtube
https://topnepalnews.com/news-category/entertainment/,https://www.facebook.com/topnepalnews,"
                
              ",social_media,facebook
https://topnepalnews.com/news-category/entertainment/,https://www.youtube.com/channel/UCiNWplWIy-DHHt0mj-lUfBw,"
                
              ",social_media,youtube
https://onlinemajdoor.com/?cat=14,https://www.facebook.com/onlinemajdoor,,social_media,facebook
https://onlinemajdoor.com/?cat=14,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://topnepalnews.com/news-category/prabash/,https://www.facebook.com/topnepalnews,"
                
              ",social_media,facebook
https://topnepalnews.com/news-category/prabash/,https://www.youtube.com/channel/UCiNWplWIy-DHHt0mj-lUfBw,"
                
              ",social_media,youtube
https://onlinemajdoor.com/?cat=2,https://www.facebook.com/onlinemajdoor,,social_media,facebook
https://onlinemajdoor.com/?cat=2,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://onlinemajdoor.com/?cat=15,https://www.facebook.com/onlinemajdoor,,social_media,facebook
https://onlinemajdoor.com/?cat=15,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://onlinemajdoor.com/?cat=22,https://www.facebook.com/onlinemajdoor,,social_media,facebook
https://onlinemajdoor.com/?cat=22,https://www.youtube.com/channel/UC2dgR_2zhDYAtJxotUAQb2g,,social_media,youtube
https://topnepalnews.com/news-category/society/,https://www.facebook.com/topnepalnews,"
                
              ",social_media,facebook
https://topnepalnews.com/news-category/society/,https://www.youtube.com/channel/UCiNWplWIy-DHHt0mj-lUfBw,"
                
              ",social_media,youtube
https://onlinemajdoor.com/?cat=18,https://www.facebook.com/onlinemajdoor,,social_media,facebook
